emi_id,member_id,plan_id,group_id,plan_emi,emi_no,total_emi,emi_status,divident,slot_number,gst_percentage,plan_emi_after_gst,is_gst_included,gst_amount,is_chit_taken,chit_amount,chit_emi_months,chit_emi,return_chit_amount,return_factor,chit_interest,return_chit_amount_final,chit_status,revised_emi,is_emi_due,penality_amount,rate_of_interest,after_penality_amount,revised_emi_after_penality,is_partial_payment,partial_paid_amount,amount_due,emi_month,mode,added_date,update_date
35,6,1,2,20000,1,5,due,,092201L108,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Sep,2022",,"2022-09-30 05:15:28","0000-00-00 00:00:00"
36,6,1,2,20000,2,5,due,,092201L108,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-09-30 05:15:28","0000-00-00 00:00:00"
37,6,1,2,20000,3,5,due,,092201L108,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-09-30 05:15:28","0000-00-00 00:00:00"
38,6,1,2,20000,4,5,due,,092201L108,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-09-30 05:15:28","0000-00-00 00:00:00"
39,6,1,2,20000,5,5,due,,092201L108,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-09-30 05:15:28","0000-00-00 00:00:00"
40,8,1,2,20000,1,5,due,,092201L109,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Sep,2022",,"2022-09-30 05:15:44","0000-00-00 00:00:00"
41,8,1,2,20000,2,5,due,,092201L109,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-09-30 05:15:44","0000-00-00 00:00:00"
42,8,1,2,20000,3,5,due,,092201L109,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-09-30 05:15:44","0000-00-00 00:00:00"
43,8,1,2,20000,4,5,due,,092201L109,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-09-30 05:15:44","0000-00-00 00:00:00"
44,8,1,2,20000,5,5,due,,092201L109,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-09-30 05:15:44","0000-00-00 00:00:00"
45,9,1,2,20000,1,5,due,,092201L1010,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Sep,2022",,"2022-09-30 05:16:03","0000-00-00 00:00:00"
46,9,1,2,20000,2,5,due,,092201L1010,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-09-30 05:16:03","0000-00-00 00:00:00"
47,9,1,2,20000,3,5,due,,092201L1010,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-09-30 05:16:03","0000-00-00 00:00:00"
48,9,1,2,20000,4,5,due,,092201L1010,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-09-30 05:16:03","0000-00-00 00:00:00"
49,9,1,2,20000,5,5,due,,092201L1010,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-09-30 05:16:03","0000-00-00 00:00:00"
50,1,5,8,2000,1,5,paid,,1022501,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-10-04 01:06:58","0000-00-00 00:00:00"
51,1,5,8,2000,2,5,due,,1022501,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-10-04 01:06:58","0000-00-00 00:00:00"
52,1,5,8,2000,3,5,due,,1022501,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-10-04 01:06:58","0000-00-00 00:00:00"
53,1,5,8,2000,4,5,due,,1022501,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-10-04 01:06:58","0000-00-00 00:00:00"
54,1,5,8,2000,5,5,due,,1022501,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Feb,2023",,"2022-10-04 01:06:58","0000-00-00 00:00:00"
55,2,5,8,2000,1,5,due,,1022502,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-10-04 01:07:03","0000-00-00 00:00:00"
56,2,5,8,2000,2,5,due,,1022502,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-10-04 01:07:03","0000-00-00 00:00:00"
57,2,5,8,2000,3,5,due,,1022502,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-10-04 01:07:03","0000-00-00 00:00:00"
58,2,5,8,2000,4,5,due,,1022502,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-10-04 01:07:03","0000-00-00 00:00:00"
59,2,5,8,2000,5,5,due,,1022502,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Feb,2023",,"2022-10-04 01:07:03","0000-00-00 00:00:00"
60,3,5,8,2000,1,5,due,,1022503,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-10-04 01:07:08","0000-00-00 00:00:00"
61,3,5,8,2000,2,5,due,,1022503,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-10-04 01:07:08","0000-00-00 00:00:00"
62,3,5,8,2000,3,5,due,,1022503,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-10-04 01:07:08","0000-00-00 00:00:00"
63,3,5,8,2000,4,5,due,,1022503,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-10-04 01:07:08","0000-00-00 00:00:00"
64,3,5,8,2000,5,5,due,,1022503,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Feb,2023",,"2022-10-04 01:07:08","0000-00-00 00:00:00"
65,3,5,8,2000,1,5,due,,1022504,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-10-04 01:07:14","0000-00-00 00:00:00"
66,3,5,8,2000,2,5,due,,1022504,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-10-04 01:07:14","0000-00-00 00:00:00"
67,3,5,8,2000,3,5,due,,1022504,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-10-04 01:07:14","0000-00-00 00:00:00"
68,3,5,8,2000,4,5,due,,1022504,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-10-04 01:07:14","0000-00-00 00:00:00"
69,3,5,8,2000,5,5,due,,1022504,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Feb,2023",,"2022-10-04 01:07:14","0000-00-00 00:00:00"
70,10,5,8,2000,1,5,due,,1022505,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-10-04 01:07:21","0000-00-00 00:00:00"
71,10,5,8,2000,2,5,due,,1022505,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-10-04 01:07:21","0000-00-00 00:00:00"
72,10,5,8,2000,3,5,due,,1022505,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-10-04 01:07:21","0000-00-00 00:00:00"
73,10,5,8,2000,4,5,due,,1022505,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-10-04 01:07:21","0000-00-00 00:00:00"
74,10,5,8,2000,5,5,due,,1022505,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Feb,2023",,"2022-10-04 01:07:21","0000-00-00 00:00:00"
75,2,6,9,10000,1,10,due,,102201L601,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-10-14 11:33:29","0000-00-00 00:00:00"
76,2,6,9,10000,2,10,due,,102201L601,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-10-14 11:33:29","0000-00-00 00:00:00"
77,2,6,9,10000,3,10,due,,102201L601,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-10-14 11:33:29","0000-00-00 00:00:00"
78,2,6,9,10000,4,10,due,,102201L601,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-10-14 11:33:29","0000-00-00 00:00:00"
79,2,6,9,10000,5,10,due,,102201L601,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Feb,2023",,"2022-10-14 11:33:29","0000-00-00 00:00:00"
80,2,6,9,10000,6,10,due,,102201L601,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Mar,2023",,"2022-10-14 11:33:29","0000-00-00 00:00:00"
81,2,6,9,10000,7,10,due,,102201L601,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Apr,2023",,"2022-10-14 11:33:29","0000-00-00 00:00:00"
82,2,6,9,10000,8,10,due,,102201L601,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"May,2023",,"2022-10-14 11:33:29","0000-00-00 00:00:00"
83,2,6,9,10000,9,10,due,,102201L601,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jun,2023",,"2022-10-14 11:33:29","0000-00-00 00:00:00"
84,2,6,9,10000,10,10,due,,102201L601,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jul,2023",,"2022-10-14 11:33:29","0000-00-00 00:00:00"
85,10,6,9,10000,1,10,due,,102201L602,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-10-14 11:33:32","0000-00-00 00:00:00"
86,10,6,9,10000,2,10,due,,102201L602,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-10-14 11:33:32","0000-00-00 00:00:00"
87,10,6,9,10000,3,10,due,,102201L602,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-10-14 11:33:32","0000-00-00 00:00:00"
88,10,6,9,10000,4,10,due,,102201L602,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-10-14 11:33:32","0000-00-00 00:00:00"
89,10,6,9,10000,5,10,due,,102201L602,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Feb,2023",,"2022-10-14 11:33:32","0000-00-00 00:00:00"
90,10,6,9,10000,6,10,due,,102201L602,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Mar,2023",,"2022-10-14 11:33:32","0000-00-00 00:00:00"
91,10,6,9,10000,7,10,due,,102201L602,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Apr,2023",,"2022-10-14 11:33:32","0000-00-00 00:00:00"
92,10,6,9,10000,8,10,due,,102201L602,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"May,2023",,"2022-10-14 11:33:32","0000-00-00 00:00:00"
93,10,6,9,10000,9,10,due,,102201L602,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jun,2023",,"2022-10-14 11:33:32","0000-00-00 00:00:00"
94,10,6,9,10000,10,10,due,,102201L602,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jul,2023",,"2022-10-14 11:33:32","0000-00-00 00:00:00"
95,10,6,9,10000,1,10,due,,102201L603,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-10-14 11:33:35","0000-00-00 00:00:00"
96,10,6,9,10000,2,10,due,,102201L603,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-10-14 11:33:35","0000-00-00 00:00:00"
97,10,6,9,10000,3,10,due,,102201L603,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-10-14 11:33:35","0000-00-00 00:00:00"
98,10,6,9,10000,4,10,due,,102201L603,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-10-14 11:33:35","0000-00-00 00:00:00"
99,10,6,9,10000,5,10,due,,102201L603,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Feb,2023",,"2022-10-14 11:33:35","0000-00-00 00:00:00"
100,10,6,9,10000,6,10,due,,102201L603,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Mar,2023",,"2022-10-14 11:33:35","0000-00-00 00:00:00"
101,10,6,9,10000,7,10,due,,102201L603,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Apr,2023",,"2022-10-14 11:33:35","0000-00-00 00:00:00"
102,10,6,9,10000,8,10,due,,102201L603,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"May,2023",,"2022-10-14 11:33:35","0000-00-00 00:00:00"
103,10,6,9,10000,9,10,due,,102201L603,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jun,2023",,"2022-10-14 11:33:35","0000-00-00 00:00:00"
104,10,6,9,10000,10,10,due,,102201L603,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jul,2023",,"2022-10-14 11:33:35","0000-00-00 00:00:00"
105,8,6,9,10000,1,10,due,,102201L604,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-10-14 11:33:39","0000-00-00 00:00:00"
106,8,6,9,10000,2,10,due,,102201L604,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-10-14 11:33:39","0000-00-00 00:00:00"
